task,label,backbone,optimized,requested_samples,unique_samples,unique_ratio,elapsed_seconds,output_path,gate_set,num_qubits,min_gates,max_gates,pad_constant,comment
srv,qiskit_not_optimized_10k,qiskit,False,10000,9981,0.9981,10.664237746968865,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/srv/qiskit_not_optimized_10k,"['h', 'cx']",5,4,20,,"generation_gate_set=['h', 'cx']; token_gate_set=['h', 'cx']"
srv,qiskit_not_optimized_100k,qiskit,False,100000,99698,0.99698,101.90024180803448,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/srv/qiskit_not_optimized_100k,"['h', 'cx']",5,4,20,,"generation_gate_set=['h', 'cx']; token_gate_set=['h', 'cx']"
srv,qiskit_optimized_10k,qiskit,True,10000,9800,0.98,19.518528408836573,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/srv/qiskit_optimized_10k,"['h', 'cx']",5,4,20,,"generation_gate_set=['h', 'cx']; token_gate_set=['h', 'cx']"
srv,qiskit_optimized_100k,qiskit,True,100000,94396,0.94396,154.40711357910186,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/srv/qiskit_optimized_100k,"['h', 'cx']",5,4,20,,"generation_gate_set=['h', 'cx']; token_gate_set=['h', 'cx']"
srv,quditkit_not_optimized_10k,quditkit,False,10000,9982,0.9982,4.441116228932515,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/srv/quditkit_not_optimized_10k,"['h', 'cx']",5,4,20,,"generation_gate_set=['h', 'cx']; token_gate_set=['h', 'cx']"
srv,quditkit_not_optimized_100k,quditkit,False,100000,99702,0.99702,41.31642189412378,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/srv/quditkit_not_optimized_100k,"['h', 'cx']",5,4,20,,"generation_gate_set=['h', 'cx']; token_gate_set=['h', 'cx']"
srv,quditkit_optimized_10k,quditkit,True,10000,9882,0.9882,5.259243247099221,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/srv/quditkit_optimized_10k,"['h', 'cx']",5,4,20,,"generation_gate_set=['h', 'cx']; token_gate_set=['h', 'cx']"
srv,quditkit_optimized_100k,quditkit,True,100000,96619,0.96619,40.872648254968226,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/srv/quditkit_optimized_100k,"['h', 'cx']",5,4,20,,"generation_gate_set=['h', 'cx']; token_gate_set=['h', 'cx']"
unitary,qiskit_not_optimized_10k,qiskit,False,10000,9382,0.9382,5.115745224989951,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/unitary/qiskit_not_optimized_10k,"['h', 'cx', 'z', 'x', 'ccx', 'swap']",3,2,12,7.0,"generation_gate_set=['h', 'cx', 'z', 'x', 'ccx', 'swap']; token_gate_set=['h', 'cx', 'z', 'x', 'ccx', 'swap']"
unitary,qiskit_not_optimized_100k,qiskit,False,100000,86709,0.86709,43.92007088288665,/home/a-ldungl/projects/qcircuit-generation/artifacts/datasets/tmp_backend_comparison/unitary/qiskit_not_optimized_100k,"['h', 'cx', 'z', 'x', 'ccx', 'swap']",3,2,12,7.0,"generation_gate_set=['h', 'cx', 'z', 'x', 'ccx', 'swap']; token_gate_set=['h', 'cx', 'z', 'x', 'ccx', 'swap']"
